methanol_bulk_molarity_M,current_density_A_cm2,total_cathode_current_density_A_cm2,methanol_crossover_current_density_A_cm2,methanol_concentration_gdl_cl_mol_cm3,methanol_concentration_cl_mem_mol_cm3,oxygen_concentration_cl_mem_mol_cm3,anode_activation_overpotential_V,anode_mass_transport_overpotential_V,anode_overpotential_V,cathode_activation_overpotential_V,cathode_mass_transport_overpotential_V,cathode_overpotential_V,ohmic_overpotential_V,crossover_loss_V,cell_voltage_V,efficiency_HHV,efficiency_LHV
1.0,3.157513142409426e-05,0.1210549128985289,0.1210233377671048,0.0006394696090405961,0.0006185300497358881,6.0772381790842685e-06,-0.05274244760739618,0.004735297045270473,-0.048007150562125706,0.08327737985108444,0.003026981712773931,0.08630436156385837,9.472539427228277e-06,0.12976249339582102,1.1601560800734916,0.00023876118432268468,0.00027202144880544675
1.0,0.0008228526730519601,0.121544390538732,0.12072153786568005,0.0006380118279331393,0.0006169876008869085,6.071655347821827e-06,-0.02060528724380048,0.004759907955449581,-0.0158453792883509,0.08333704226071315,0.0030405703122688677,0.08637761257298202,0.000246855801915588,0.08161210020799614,1.127683674528105,0.006023640074658607,0.006862754114909558
1.0,0.0016141302146798259,0.12203386817893508,0.12041973796425526,0.0006365540468256826,0.000615445152037929,6.066072516559386e-06,-0.013964032914705422,0.004784580469167834,-0.009179452445537587,0.08339646488297818,0.0030541714121048225,0.086450636295083,0.00048423906440394775,0.07170531707875871,1.1207073407007024,0.011695935452736917,0.013325219993416685
1.0,0.0024054077563076914,0.1225233458191382,0.1201179380628305,0.0006350962657182257,0.0006139027031889492,6.060489685296944e-06,-0.010031929600062757,0.004809314895598778,-0.005222614704463979,0.08345564963761071,0.003067785035301455,0.08652343467291217,0.0007216223268923075,0.06586201336809139,1.1164403213193115,0.017293779965175726,0.01970286374141911
1.0,0.003196685297935557,0.1230128234593413,0.11981613816140574,0.0006336384846107688,0.0006123602543399695,6.054906854034501e-06,-0.007228707004258552,0.004834111546249305,-0.002394595458009247,0.08351459842137975,0.003081411204942061,0.0865960096263218,0.0009590055893806671,0.06171178549953771,1.1133023438569585,0.022826912653672326,0.026006781083039613
1.0,0.003987962839563423,0.12350230109954438,0.11951433825998097,0.000632180703503312,0.0006108178054909899,6.04932402277206e-06,-0.005048718477721906,0.004858970734983214,-0.00018974774273869226,0.08357331310845705,0.003095049944173808,0.08666836305263086,0.001196388851869027,0.05849616534297852,1.1107877594528903,0.028300342753604886,0.032242679057589645
1.0,0.004779240381191289,0.1239917787397475,0.1192125383585562,0.0006307229223958551,0.0006092753566420101,6.043741191509618e-06,-0.003264628256397882,0.0048838927780450484,0.0016192645216471665,0.0836317955507745,0.0031087012762080037,0.08674049682698251,0.0014337721143573869,0.05587415107419824,1.1086692301516645,0.03371728023965166,0.038414214800399166
1.0,0.005570517922819155,0.12448125637995057,0.11891073845713142,0.0006292651412883982,0.0006077329077930305,6.038158360247177e-06,-0.0017545043214803899,0.004908877994084207,0.0031543736726038175,0.08369004757837471,0.003122365224320281,0.086812412802695,0.0016711553768457466,0.053662846464835656,1.1068248217625072,0.03908004541685571,0.04452403184308437
1.0,0.006361795464447021,0.12497073402015368,0.11860893855570666,0.0006278073601809415,0.0006061904589440509,6.032575528984735e-06,-0.0004452993521500117,0.004933926704179423,0.004488627352029411,0.0837480709997546,0.0031360418118508864,0.08688411281160549,0.001908538639334106,0.0517526823118335,1.1051814848116825,0.04439044909423359,0.050574193246664144
1.0,0.0071530730060748865,0.12546021166035676,0.11830713865428188,0.0006263495790734847,0.0006046480100950712,6.026992697722293e-06,0.0007102264143996398,0.004959039231863506,0.005669265646263146,0.08380586760220227,0.003149731062204886,0.08695559866440715,0.002145921901822466,0.05007280072781062,1.103691977402159,0.049649980717599775,0.05656639594194203
