methanol_bulk_molarity_M,current_density_A_cm2,total_cathode_current_density_A_cm2,methanol_crossover_current_density_A_cm2,methanol_concentration_gdl_cl_mol_cm3,methanol_concentration_cl_mem_mol_cm3,oxygen_concentration_cl_mem_mol_cm3,anode_activation_overpotential_V,anode_mass_transport_overpotential_V,anode_overpotential_V,cathode_activation_overpotential_V,cathode_mass_transport_overpotential_V,cathode_overpotential_V,ohmic_overpotential_V,crossover_loss_V,cell_voltage_V,efficiency_HHV,efficiency_LHV
3.0,4.677073512995423e-05,0.3631350743462796,0.3630883036111497,0.0019184971746262157,0.0018556836279239252,3.316146389913502e-06,-0.059698627245911365,0.004734800503967187,-0.05496382674194418,0.09951936302874839,0.011983065378088248,0.11150242840683663,1.403122053898627e-05,0.14915129515681946,1.1473245277039408,0.00011659416929483618,0.00013283614312695267
3.0,0.00121885239067986,0.363860114212448,0.36264126182176815,0.0019163378330501334,0.0018533988720634293,3.3078768084272424e-06,-0.027561466882315654,0.004746943867448101,-0.022814523014867555,0.09954885388528116,0.012019981732270455,0.11156883561755161,0.000365655717203958,0.10098543364710677,1.114757192269484,0.0029463307729664877,0.0033567649104941583
3.0,0.0023909340462297656,0.36458515407861636,0.3621942200323866,0.0019141784914740508,0.0018511141162029332,3.2996072269409828e-06,-0.0209202125532206,0.004759102209755113,-0.016161110343465485,0.09957828603579512,0.012056990491705806,0.11163527652750092,0.0007172802138689297,0.09106341720490474,1.1076857141914678,0.00573151888206285,0.006529939422847726
3.0,0.0035630157017796714,0.36531019394478476,0.36174717824300506,0.0019120191498979684,0.0018488293603424373,3.291337645454724e-06,-0.016988109238577933,0.004771275567886593,-0.012216833670691339,0.09960765971355245,0.0120940921201542,0.11170175183370665,0.0010689047105339013,0.08520511382543461,1.103323337715823,0.008490696283184591,0.009673479845021251
3.0,0.004735097357329577,0.36603523381095315,0.3613001364536236,0.0019098598083218859,0.0018465446044819412,3.2830680639684643e-06,-0.014184886642773726,0.004783463978978171,-0.009401422663795555,0.09963697515042787,0.01213128708487556,0.11176826223530342,0.001420529207198873,0.0810401185917542,1.1000897918106654,0.011228421641806772,0.012792579880466422
3.0,0.005907179012879483,0.36676027367712144,0.360853094664242,0.0019077004667458033,0.001844259848621445,3.2747984824822063e-06,-0.012004898116237079,0.004795667480303401,-0.007209230635933678,0.09966623257691946,0.012168575856665151,0.11183480843358462,0.0017721537038638449,0.07780996205720747,1.0974794290878573,0.013946935399951439,0.01588979207258149
3.0,0.007079260668429389,0.36748531354328984,0.36040605287486044,0.001905541125169721,0.0018419750927609491,3.2665289009959466e-06,-0.010220807894913055,0.004807886109274453,-0.005412921785638602,0.09969543222215978,0.012205958909889358,0.11190139113204914,0.002123778200528817,0.0751736411046744,1.095264913042433,0.01664760062433647,0.018966669368025133
3.0,0.008251342323979295,0.3682103534094582,0.3599590110854789,0.0019033817835936385,0.0018396903369004532,3.258259319509688e-06,-0.008710683959995564,0.0048201199034428035,-0.0038905640565527607,0.09972457431392644,0.012243436722521844,0.11196801103644828,0.002475402697193788,0.07294825823621243,1.0933243109122828,0.019331349424266526,0.0220242737221743
3.0,0.009423423979529201,0.36893539327562663,0.3595119692960974,0.001901222442017556,0.001837405581039957,3.2499897380234273e-06,-0.007401478990665185,0.00483236890049992,-0.0025691100901652645,0.0997536590786528,0.012281009776180277,0.11203466885483308,0.00282702719385876,0.071024243002201,1.0915845746308455,0.02199886919596358,0.025063388287938606
3.0,0.010595505635079107,0.369660433141795,0.35906492750671587,0.0018990631004414734,0.001835120825179461,3.2417201565371685e-06,-0.006245953224115533,0.0048446331382779656,-0.0014013200858375673,0.09978268674143863,0.012318678556163405,0.11210136529760203,0.003178651690523732,0.06933073629142328,1.089998463687084,0.024650694605043454,0.028084622211716176
3.0,0.011767587290629013,0.3703854730079633,0.35861788571733433,0.001896903758865391,0.0018328360693189653,3.2334505750509097e-06,-0.005211788378967266,0.0048569126547504905,-0.00035487572421677525,0.09981165752606042,0.012356443551488731,0.11216810107754915,0.003530276187188704,0.06781926121622806,1.0885336590488512,0.027287258375281224,0.03108846849721095
3.0,0.012939668946178918,0.3711105128741317,0.3581708439279528,0.0018947444172893086,0.0018305513134584694,3.22518099356465e-06,-0.004275897780094652,0.00486920748803315,0.000593309707938498,0.09984057165498182,0.01239430525493055,0.11223487690991238,0.003881900683853675,0.06645518829981056,1.0871670732876677,0.029908921668793668,0.034075338617680355
3.0,0.014111750601728824,0.3718355527403001,0.3577238021385713,0.0018925850757132259,0.001828266557597973,3.2169114120783903e-06,-0.0034212140604517375,0.004881517676384408,0.0014603036159326704,0.09986942934936388,0.012432264163058555,0.11230169351242243,0.004233525180518647,0.06521291702899434,1.0858816382804986,0.032515993392772405,0.03704558451216359
3.0,0.01528383225727873,0.3725605926064685,0.35727676034918976,0.0018904257341371435,0.0018259818017374771,3.2086418305921306e-06,-0.002634762937830844,0.004893843258206243,0.002259080320375399,0.09989823082907516,0.012470320776276914,0.11236855160535207,0.004585149677183619,0.06407298651940896,1.0846643789864612,0.035108743066478015,0.03999951324489286
3.0,0.016455913912828635,0.3732856324726368,0.35682971855980816,0.0018882663925610611,0.0018236970458769812,3.2003722491058727e-06,-0.001906450745019256,0.004906184272044882,0.0029997335270256264,0.09992697631270181,0.012508475598863833,0.11243545191156565,0.004936774173848591,0.06302025681076961,1.0835052009769324,0.0376874097321836,0.04293739715756241
3.0,0.017627995568378543,0.37401067233880514,0.3563826767704266,0.0018861070509849785,0.0018214122900164851,3.192102667619614e-06,-0.0012282701218264166,0.0049185407565915185,0.003690270634765102,0.09995566601755757,0.012546729139011687,0.11250239515656925,0.005288398670513563,0.062042717404960035,1.082396096127524,0.040252208325192405,0.04585948112671175
